delay,wire_model,power,mode,metal_layers,utilization,top_level_mod,area,period
1.85,WireAreaLowkAgr,0.0410243,mode0,8,0.90,dsp,45627.003,1.81
2.45,WireAreaLowkAgr,0.0295732,mode3,6,0.85,dsp,43101.540,2.5
1.98,WireAreaLowkAgr,0.0364537,mode2,6,0.85,dsp,45358.020,2.0
1.58,WireAreaLowkAgr,0.0505759,none,5,0.90,dsp,54244.242,1.53
1.85,WireAreaLowkAgr,0.0413302,none,5,0.90,dsp,45627.003,1.81
1.99,WireAreaLowkAgr,0.0371539,none,6,0.90,dsp,42837.885,2.0
1.58,WireAreaLowkAgr,0.0510244,mode3,5,0.95,dsp,51389.991,1.53
1.52,WireAreaLowkAgr,0.0509735,mode2,6,0.85,dsp,57436.848,1.53
2.48,WireAreaLowkAgr,0.0300661,mode3,7,0.95,dsp,38565.072,2.5
2.48,WireAreaLowkAgr,0.0297115,mode0,5,0.95,dsp,38565.072,2.5
1.97,WireAreaLowkAgr,0.0363503,mode2,8,0.95,dsp,40583.547,2.0
2.46,WireAreaLowkAgr,0.0300664,mode3,8,0.95,dsp,38565.072,2.5
1.97,WireAreaLowkAgr,0.0363542,mode2,7,0.95,dsp,40583.547,2.0
1.97,WireAreaLowkAgr,0.0373457,mode1,5,0.95,dsp,40583.547,2.0
2.48,WireAreaLowkAgr,0.0290715,mode2,8,0.85,dsp,43101.540,2.5
1.93,WireAreaLowkAgr,0.0371141,mode3,7,0.85,dsp,45358.020,2.0
2.0,WireAreaLowkAgr,0.0365472,mode0,5,0.85,dsp,45358.020,2.0
1.79,WireAreaLowkAgr,0.0423824,mode1,5,0.90,dsp,45627.003,1.81
2.47,WireAreaLowkAgr,0.0291169,mode2,7,0.85,dsp,43101.540,2.5
2.41,WireAreaLowkAgr,0.0299025,mode1,5,0.85,dsp,43101.540,2.5
1.55,WireAreaLowkAgr,0.0518046,mode1,5,0.90,dsp,54244.242,1.53
1.96,WireAreaLowkAgr,0.0370939,mode3,8,0.85,dsp,45358.020,2.0
2.49,WireAreaLowkAgr,0.0297566,none,7,0.90,dsp,40707.072,2.5
2.49,WireAreaLowkAgr,0.0297386,none,8,0.90,dsp,40707.072,2.5
2.0,WireAreaLowkAgr,0.0373043,none,5,0.85,dsp,45358.020,2.0
1.55,WireAreaLowkAgr,0.0511177,none,6,0.85,dsp,57436.848,1.53
2.48,WireAreaLowkAgr,0.030242,none,5,0.95,dsp,38565.072,2.5
1.51,WireAreaLowkAgr,0.0512787,mode3,8,0.90,dsp,54244.242,1.53
1.81,WireAreaLowkAgr,0.0416461,mode3,8,0.90,dsp,45627.003,1.81
1.54,WireAreaLowkAgr,0.0511857,mode3,7,0.90,dsp,54244.242,1.53
1.96,WireAreaLowkAgr,0.0365478,mode2,5,0.90,dsp,45358.020,2.0
1.97,WireAreaLowkAgr,0.0373471,mode1,7,0.90,dsp,42837.885,2.0
2.49,WireAreaLowkAgr,0.0291461,mode0,8,0.90,dsp,40707.072,2.5
1.94,WireAreaLowkAgr,0.0373501,mode1,8,0.90,dsp,42837.885,2.0
